sequencenum,timestamp,context,event,detail,timestampint,contextinint,contextint,contextoutint,eventint,eventoffset,eventsize,eventdata
620,0.136 884 680,"SysTick","ISR Exit","Returns to Idle",3422117,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,3446,3,03 E8 02 
621,0.137 832 560,"SysTick","ISR Enter","Runs for 52.120 us",3445814,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,3449,5,02 0F 91 B9 01 
622,0.137 849 280,"SysTick","xTaskIncrementTick","",3446232,0x000000010000000F,0x000000010000000F,0x000000010000000F,219,3454,5,DB 01 00 A2 03 
623,0.137 870 280,"SysTick","xTaskIncrementTick","Returns 0 after 21.000 us",3446757,0x000000010000000F,0x000000010000000F,0x000000010000000F,28,3459,7,1C 03 DB 01 00 8D 04 
624,0.137 884 680,"SysTick","ISR Exit","Returns to Idle",3447117,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,3466,3,03 E8 02 
625,0.138 832 560,"SysTick","ISR Enter","Runs for 52.120 us",3470814,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,3469,5,02 0F 91 B9 01 
626,0.138 849 280,"SysTick","xTaskIncrementTick","",3471232,0x000000010000000F,0x000000010000000F,0x000000010000000F,219,3474,5,DB 01 00 A2 03 
627,0.138 870 280,"SysTick","xTaskIncrementTick","Returns 0 after 21.000 us",3471757,0x000000010000000F,0x000000010000000F,0x000000010000000F,28,3479,7,1C 03 DB 01 00 8D 04 
628,0.138 884 680,"SysTick","ISR Exit","Returns to Idle",3472117,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,3486,3,03 E8 02 
629,0.139 832 560,"SysTick","ISR Enter","Runs for 52.120 us",3495814,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,3489,5,02 0F 91 B9 01 
630,0.139 849 280,"SysTick","xTaskIncrementTick","",3496232,0x000000010000000F,0x000000010000000F,0x000000010000000F,219,3494,5,DB 01 00 A2 03 
631,0.139 870 280,"SysTick","xTaskIncrementTick","Returns 0 after 21.000 us",3496757,0x000000010000000F,0x000000010000000F,0x000000010000000F,28,3499,7,1C 03 DB 01 00 8D 04 
632,0.139 884 680,"SysTick","ISR Exit","Returns to Idle",3497117,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,3506,3,03 E8 02 
633,0.140 832 560,"SysTick","ISR Enter","Runs for 52.120 us",3520814,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,3509,5,02 0F 91 B9 01 
634,0.140 849 280,"SysTick","xTaskIncrementTick","",3521232,0x000000010000000F,0x000000010000000F,0x000000010000000F,219,3514,5,DB 01 00 A2 03 
635,0.140 870 280,"SysTick","xTaskIncrementTick","Returns 0 after 21.000 us",3521757,0x000000010000000F,0x000000010000000F,0x000000010000000F,28,3519,7,1C 03 DB 01 00 8D 04 
636,0.140 884 680,"SysTick","ISR Exit","Returns to Idle",3522117,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,3526,3,03 E8 02 
637,0.141 832 560,"SysTick","ISR Enter","Runs for 52.120 us",3545814,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,3529,5,02 0F 91 B9 01 
638,0.141 849 280,"SysTick","xTaskIncrementTick","",3546232,0x000000010000000F,0x000000010000000F,0x000000010000000F,219,3534,5,DB 01 00 A2 03 
639,0.141 870 280,"SysTick","xTaskIncrementTick","Returns 0 after 21.000 us",3546757,0x000000010000000F,0x000000010000000F,0x000000010000000F,28,3539,7,1C 03 DB 01 00 8D 04 
640,0.141 884 680,"SysTick","ISR Exit","Returns to Idle",3547117,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,3546,3,03 E8 02 
641,0.142 832 560,"SysTick","ISR Enter","Runs for 61.080 us",3570814,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,3549,5,02 0F 91 B9 01 
642,0.142 858 240,"SysTick","xTaskIncrementTick","",3571456,0x000000010000000F,0x000000010000000F,0x000000010000000F,219,3554,5,DB 01 00 82 05 
643,0.142 879 240,"SysTick","xTaskIncrementTick","Returns 0 after 21.000 us",3571981,0x000000010000000F,0x000000010000000F,0x000000010000000F,28,3559,7,1C 03 DB 01 00 8D 04 
